,definition,downvotes,mnemonics,upvotes,word
669,['(noun) a tract of land used for burials'],"['0', '2']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    relate with crematery (cremation ground) in which the body is burnt. In cemetery body is buried.', 'a word come on mind is symmetry,,,which means to be equal,,,and when we all died we will be buried on the cemetery so we are all equal in that ...']","['5', '5']",cemetery
670,"['(noun) someone who censures or condemns', '                (noun) a person who is authorized to read publications or correspondence or to watch theatrical performances and suppress in whole or in part anything considered obscene or politically unacceptable', '                (verb) forbid the public distribution of ( a movie or a newspaper)', '(verb) subject to political, religious, or moral censorship']","['0', '4', '0', '0', '0', '0']","['censor board which removes inappropriate matters from movies', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    relate censor to parents who eliminate inapproriate things for their children,censorship...', 'lets remember sensors which alerts us when there is something wrong ,,(smoke detectors ,seat belt sensor in the cars)so it works like (censor)on this meaning :)', 'AMERICAN PIE FILM HAVE LOT OF CENSORS', 'they have a sensor to censor movie films', 'they have a sensor to censor movie films']","['5', '2', '2', '1', '0', '0']",censor
671,['(adj) harshly critical or expressing censure'],"['2', '3', '4', '0', '0', '0', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    overly serIOUS abt CENSORing---harshly critical or disapproving', 'censor-ious -> means like sensor; people like sensor always try to find fault of others and criticize them', 'CENSORship is a very CRITICAL  issue', ""it can be read as ''CENSE(sense)+serIOUS''.\r\nWhich implies that it senses like its getting serious or severely critical."", 'censor board find it full of or(bad scenes) severely critical and disapproved it.', 'In ancient eastern Asia, a censor was a government official whose primary duty was to scrutinize the conduct of officials and rulers.', 'break it like censor+serious censor board is very srious on the director of the film']","['7', '5', '2', '1', '1', '0', '0']",censorious
672,"['(noun) harsh criticism or disapproval', '(noun) the state of being excommunicated', '(verb) rebuke formally']","['1', '3', '3', '2', '0', '0', '0']","['Try to link the meaning of this word with the censor board which always critisizes every inch of the film and also disapproves of some of the parts.', 'the ppl who r very sure,they always criticise others..', 'censure�sounds simillar to censor�.and when is something censored? When people are disapprove of something,something which gets criticism from all over.', 'Cent-%-SURE:  I was cent percent sure, but it got disapproved', ""Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    someone is saying you have made a mess go ''C(see) and ensure'' whats the fault in this."", 'ensure energy drink is not good in taste, smell and disapprove to have it.(blame; criticize; express strong disapproval)', 'someone ""CENt-per cent-SURE"" of what he/she knows is likely to ""express formal disapproval"" when he/she sees something amiss']","['77', '16', '9', '4', '1', '1', '0']",censure
673,"['(noun) (classical mythology) a mythical being that is half man and half horse', '                (noun) a conspicuous constellation in the southern hemisphere near the Southern Cross']","['1', '1', '0']","['the word when pronounced, gives  a pronouncation of centre..which means half..', 'In the game DotA, there is a hero called Centaur Warchief whose upper body is like human and the remaining part is like animal.', 'people who have watched NARNIA - The lion,witch and the wardrobe can remember centaur.. The lions troop will have lot of centaurs with human face and horse body which is a centaur']","['26', '8', '4']",centaur
674,['(adj) of or relating to a temperature scale on which the freezing point of water is 0 degrees and the boiling point of water is 100 degrees'],[],[],[],centigrade
675,"['(adj) tending to move away from a center', '(adj) tending away from centralization, as of authority', '(adj) conveying information to the muscles from the CNS']","['1', '0']","['Centrifugal = Central (CBI) + fugitive -- A fugitive always runs away from the CBI', 'center of the few girl']","['1', '0']",centrifugal
676,"['(noun) an apparatus that uses centrifugal force to separate particles from a suspension', '(verb) rotate at very high speed in order to separate the liquids from the solids']","['0', '0']","['sounds like refugee.....so refugees are seperated', 'stop central fusion, separate from whirling']","['0', '0']",centrifuge
677,"['(adj) tending to move toward a center', '(adj) tending to unify', '(adj) of a nerve fiber or impulse originating outside and passing toward the central nervous system']","['0', '0']","['The petals of a flower are bound by a bud in the center, thus bending towards the center..Unifying', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    pedaling towards center. ie towards center']","['15', '1']",centripetal
678,['(noun) (ancient Rome) the leader of 100 soldiers'],"['1', '12', '7', '0', '4']","['centurion -> century -> 100;  thus it means a leader of 100 soldiers.', ""Sachin(Indian Cricket's army man) scored a blistering century @ the centurion  to become a centurion watched by hundreds of spectators. Put all these together to get the meaning of the word"", 'Centurion mattress remember one add is there...\r\n\r\nIt leads all mattress...', 'Centurion sounds similar to centuries. Sachin leads the table with the most number of centuries scored.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    saikia assamese surnames means having 100 soldiers under him. Same as centurion. There is one more assamese surname hazarika(bupen hazarika) who has 1000 soldiers under him.']","['19', '2', '1', '1', '0']",centurion
679,"['(adj) involving intelligence rather than emotions or instinct', '(adj) of or relating to the cerebrum or brain']","['0', '0']","['cereBRAINal', 'CEREBRAL ASSASIN']","['7', '1']",cerebral
680,['(noun) the process of using your mind to consider something carefully'],['0'],['cerebral refers to the brain ..so cerebration is the functioning of  thoughts.'],['17'],cerebration
681,"['(adj) characterized by pomp and ceremony and stately display', '(adj) rigidly formal or bound by convention']",['1'],['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    in ceremony we often be formal'],['14'],ceremonious
682,['(noun) total certainty or greater certainty than circumstances warrant'],"['3', '11', '1', '0', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    certain in attitude.', 'Break the word as: CERTI-TUDE : thus attitude to get 1st position certificate i.e ; OVERCONFIDENCE  ..', 'Certitude = Certain Attitude', 'certainly dude!!!', 'certitude - sari(ok in tamil) dude 100% true.']","['31', '8', '5', '3', '1']",certitude
683,['(noun) a stopping'],"['1', '0', '5', '6', '0']","['cessation comes from cease.. which means to stop..', 'cessation >> ce(see)+STATION............. station is the place for stopage.', 'cessation pronounciation is simlar to aSSASSINATION...which means putting an end :)', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    essa(essay)- think of a situation where u are writting essay competition.after the time limit,there is a sudden stopage.', 'remember cease fire which means stop firing.']","['42', '7', '3', '2', '1']",cessation
684,['(noun) the act of ceding'],"['9', '5', '3', '1', '0', '0', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    cession comes from cede.. which means to yield', 'recession---to decrease', ""browser c(s)ession is very productive so it's yielding."", 'recession----stoopage of money flow.....cession--stoppage', 'recession=It leads to yielding of inflation~yielding other thing..', 'cess-, past participle of cedere ""yield""]', 'cession comes from Accession which means to join or to add something,..']","['18', '5', '1', '1', '0', '0', '0']",cession
685,"['(noun) soreness and warmth caused by friction', '(noun) anger produced by some annoying irritation', '(verb) become or make sore by or as if by rubbing', '(verb) feel extreme irritation or anger', '(verb) cause annoyance in; disturb, especially by minor irritations', '(verb) tear or wear off the skin or make sore by abrading', '(verb) cause friction', '(verb) warm by rubbing, as with the hands']","['4', '6', '5', '1', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    the word resembles cafe- cafe is a place where u can see lovers rubbing each others hands, to make things warm and sore..lol..', 'sounds like cafe....cafe is always hot..and if its in a china cup it gets hotter by rubbing.', 'pronounced as cheyf whch rhymes with kaif....mohammad CHAFE (kaif) always keeps is hand WARM BY RUBBING against each other', 'chei    rub chesthey hot avthunthi', 'CHAFF GRANADE U NEED TO RUB IT & PULL ITS STRING TO MAKE IT HOT & THEN U THROW IT >>> CHAFE']","['67', '34', '14', '1', '0']",chafe
686,"['(noun) material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds', '(noun) foil in thin strips; ejected into the air as a radar countermeasure', '                (verb) be silly or tease one another']","['5', '11', '25', '0', '6', '6', '5']","['chaff -> haff -> half;  if a work is half done then it is worthless.', 'sounds like saaf. Jab wheat ko saaf karte hain to worthless material nikalta hai.', 'sounds like COUGH...it is always worthless. as evryone throughs it out of throat...', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    He CHAFFED and we LAUGHED', 'chef gets to eat worthless outer cover ie chaff', 'When my mom used to separate worthless things from rice chaff chaff sound used to come �\x81�', 'The chef chunked the chaff.']","['35', '11', '5', '2', '1', '1', '1']",chaff
687,"['(noun) strong feelings of embarrassment', '(verb) cause to feel shame; hurt the pride of']","['14', '14', '3', '12', '1', '4', '6', '6', '6', '4', '1', '1', '0', '5', '1', '1', '1']","['I was in a meeting and to my chagrin, CHAI GIR gayi on my pant making it  very embarrassing for me.', ""Chagrin?? I'm surprised nobody though of this! You're SHAGGING in your room and your chacha walks in.. gives you a GRIN- ;-)You're freakin EMBARRASSED!\r\nplease Rate!"", 'When someone laughs and GRINs at u,u feel humiliated,irritated.', ""'cha'-disappointment, 'grin'-annoyance...."", ""Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    CHARGING....when you call your friend and he doesn't pick up your call and says that he was CHARGING his mobile and tries to avoid you....it's will make you ANNOYED,DISAPPOINTED..."", 'agri-angri-angry. somthing annoying ..wen u looses in a challenge,u are angry,caused by the humiliation and injured pride..', 'also grin- u grin wen u a re angry and annoyed..', 'rachel grin in friends broke up with ross, so she was very disappointed in the serial.', 'chagrin = no grin', 'ike chandilier in FRIENDS who is embarrassed by joey in presence of women', 'chagrin = ""cha""(character) + ""grin""\r\ni.e. someone grins on ur character\r\n/Strong feeling of embarrasment/', 'The mentally disturbed woman had a madnes in her eyes and SHE GRINNED', 'shag + grin =embarassment :D', 'Chagrin sounds like charge, taking charge on some one means annoying them.', 'Chagrin is like the opposite of grinning', 'CHAI-GIRING : CHAGRIN', 'chagrin=CHild+Always+GRINs...if yout child always grins in front of everyone, it brings humiliation, annoyance, and disappointment']","['96', '46', '23', '7', '5', '1', '1', '1', '1', '1', '1', '1', '1', '0', '0', '0', '0']",chagrin
688,['(noun) a bowl-shaped drinking vessel; especially the Eucharistic cup'],"['4', '0', '10', '0', '0', '1', '0', '0']","['it is pronounced as chaalis (40); imagine ali baba 40 chor having jadui cup .. or very prestigious cup : ornamented with gems', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    CHALICE can be pronounced as CHAI PLEASE... so he gets you CHAI in a CONSECRATED CUP', 'ch+alice \r\nvisualize Alice having a consecrated cup', 'chalice->u ask your friend showing the glass CHAL ICE dhaal..', 'Harry Potter and Goblet of Fire.', 'alice in wonderland remember the girl ll become big and small by drinking a liquid in consecrated cup. chalice = holy cup', 'chalice(chai) +  lice (chinese people drink chai in a bowl-shaped vessel)', 'chalice=chal(go)+ice...how wil u go and get ice?.... in a cup or vessel']","['27', '16', '5', '4', '4', '2', '1', '0']",chalice
689,"['(noun) a changeable or inconstant person', '                (noun) a faint constellation in the polar region of the southern hemisphere near Apus and Mensa', '(noun) lizard of Africa and Madagascar able to change skin color and having a projectile tongue']","['1', '2', '4']","['u know chameli film kareen is a bitch who changes guys !! just like that the lizard changes colors', 'ChamBaz public time moto rong paltay..', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Chas (Charles)me & Leon found the lizard changing colors.']","['12', '4', '0']",chameleon
690,"['(noun) someone who has won first place in a competition', '(noun) someone who fights for a cause', '(noun) a person who backs a politician or a team etc.', '(noun) someone who is dazzlingly skilled in any field', '(verb) protect or fight for as a champion', '(adj) holding first place in a contest']",['0'],['Champions are like super man who has capability to support and defend there friends [Secondary Meaning]'],['5'],champion
691,"['(noun) the status of being a champion', '(noun) a competition at which a champion is chosen', '                (noun) the act of providing approval and support']",[],[],[],championship
692,"['(noun) the British cabinet minister responsible for finance', '(noun) the person who is head of state (in several countries)', '(noun) the honorary or titular head of a university']","['0', '0']","['Chance played cello for the chancellor.', 'chancellor=chance+llor so its a chance to have a high rank or to be a minister =)']","['0', '0']",chancellor
693,"['(noun) a repetitive song in which as many syllables as necessary are assigned to a single tone', '                (verb) recite with musical intonation; recite as a chant or a psalm', '(verb) utter monotonously and repetitively and rhythmically']","['1', '2']","['CHANT-Aa padte  hi shout karna...means to shout', 'song lik anna chata']","['1', '0']",chant
694,"['(adj) lacking a visible order or organization', '(adj) completely unordered and unpredictable and confusing', '(adj) of or relating to a sensitive dependence on initial conditions']",['6'],['in hindi we call tea as chae.so imagine a situation someone who is confused which chae(chaotic)should he bye.eithr taj mahel or tata tea.'],['1'],chaotic
695,"['(noun) a place of worship that has its own altar', '                (noun) a service conducted in a place of worship that has its own altar']","['3', '4', '0', '0']","[""Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    remember chappal. You'll never go to church wearing chappal though church allows u."", 'chapel a coach of indian cricket team ,naturally he would spend most of the time in church so that india would win the match', 'Do not take your chapel inside house;  becoz there is a small temple inside room.', 'indian coach right,,simple way..imagine chapel in chapel']","['12', '6', '0', '0']",chapel
696,"['(noun) one who accompanies and supervises a young woman or gatherings of young people', '(verb) accompany as a chaperone']","['5', '16', '1', '0', '0']","['Chaperon sounds CHAP-WRONG and wrong chaps tease young women..hence need older men to supervise =D', 'this word is pronounced likeSHAPruhrohn..shap..sounds like SAIF(bollywood actor)and we know that from last few month saif has been accompanying and supervising(insecur about shaid  ) kareena kapoor in parties.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    jo chape ho jaaye bandi pe...', 'remember Greg CHAPPEL who supervised young group of indian cricket team similarly chaperon..', 'Chap parenting young woman.']","['16', '6', '2', '2', '2']",chaperon
697,['(noun) a clergyman ministering to some institution'],"['4', '1', '2']","[""Charlie was worshipping Nepal's king. Hence the name Charlie Chaplain."", 'if some1 wears a chappal  in the church or breaks the lane and comes ahead chaplain has to throw him out', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Charli guided the religion of being happy so his name is charli chaplain.']","['3', '3', '1']",chaplain
698,"['(noun) a charred substance', '                (noun) a human female employed to do housework', '(noun) any of several small trout-like fish of the genus Salvelinus', '(verb) burn to charcoal', '(verb) burn slightly and superficially so as to affect color']",['1'],['remember char + coal which is burnt coal.'],['9'],char
699,['(noun) a personal attractiveness or interestingness that enables you to influence others'],"['0', '2', '0', '2', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    this word sounds like KARISMA(KAPOOR BOLlYWOOD HEROINE)..she definitely has great charm and is quite appealing.', 'this also sounds like hindi word karisma  ..means a MIRACLE  and a miracle is a DIVINE GIFT OF GOD.', 'It is spelled as KARIZMA, everyone knows abt the Bike,manufactured by Hero Honda,it has ths following features: \tallure, appeal, charm, dazzle, fascination, gift, glamour, magnetism, pizzazz,power (these are actually the synonyms)', 'charisma (rithima of dil milgaye  she has so personal attraction that arman fall in love with her', 'having charm']","['19', '10', '6', '0', '0']",charisma
700,['(noun) a flamboyant deceiver; one who attracts customers with tricks or jokes'],"['12', '14', '7', '1', '1', '1']","[""you hit CHAR LATEIN (in Hindi language) (4 kicks) to the person who misguides you as he himself doesn't know anything...."", 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    (in hindi language) CHAR Letter LATiN ke jaanta hai and khud ko 30 markhan samajhta hai', 'CHAR gane kya ache gadiye khudko LATA mangeshkar batati hai..', 'we can co-relate it to Chaturlingam(Character in 3 Idiots)', 'origin-cerreto; italian village once known for frauds amongst its natives', 'kannada heroine CHARULATHA attracted everyone by her jokes']","['69', '23', '7', '2', '1', '1']",charlatan
701,"['(noun) attractiveness that interests or pleases or stimulates', '(noun) a verbal formula believed to have magical force', '(noun) something believed to bring good luck', '(noun) (physics) one of the six flavors of quark', '                (verb) attract; cause to be enamored', '(verb) control by magic spells, as by practicing witchcraft', '(verb) protect through supernatural powers or charms', ""                (verb) induce into action by using one's charm""]",[],[],[],charm
702,['(adj) characterized by great caution and wariness'],"['10', '5', '21', '3', '7', '3', '1', '0', '0', '12', '10', '4', '2', '10', '0']","['Chary : Think of it as ""BramhaChari"": What do the  Bramhachari\'s  do ?? They refrain from Marriage/ Females in general. They are unwilling to be bound by family life.', 'CHARY sounds similar to WARY, meaning CAUTIOUS.', 'chary is like \'cherry\'. Remember \'CHERRY\' BLOSSOM shoe polish i.e we should be ""very cautious"" while using polish. Because if it falls on our clothes its hard to remove the stain.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    chary: think of charred... somebody ""charred"" is chary i.e., somebody who is burnt is always wary or cautious', 'Chary= cary( somebody who takes care)', 'chary in adhurs telugu movie,he is very cautious n fearful.', 'Think: <B>charred</B> as in having been burned and from now on will be cautious.', 'take for ex actor brahmanandam(chary) in dee movie.. he doesnt want to take risk. (nannu involve cheyakandi)', ""''chary'' its somehow sounds like ''scary'' . So its scary to put  a money in any company whiich is not well known to you... So you ''unwilling to take risk on that bcoz u r cautious of ur money''"", 'chary sounds like CHARITY...and chary is quite opposite to\r\ncharity.', 'in a telugu movie money money, a person named chary does not want to take risk by giving money to owners husband itself', 'CHARtered accountants\r\nare CHARY.i.e.,CAREFUL in spending money.', 'Remember in the tv show FRIENDS, Monica calls her virginity as cherry. So she is  very CAREFUL and CAUTIOUS about giving her cherry to anyone. :D  No offence please!', 'chary and wary go hand in hand be Chary; be wary too!', 'chary sound like care-e.that means to take care or sincerety']","['81', '34', '11', '6', '5', '2', '2', '2', '2', '1', '1', '1', '1', '0', '0']",chary
703,"['(noun) the act of pursuing in an effort to overtake or capture', '(noun) United States politician and jurist who served as chief justice of the United States Supreme Court (1808-1873)', '(noun) a rectangular metal frame used in letterpress printing to hold together the pages or columns of composed type that are printed at one time', '                (verb) go after with the intent to catch', '(verb) pursue someone sexually or romantically', '(verb) cut a groove into', '(verb) cut a furrow into a columns']","['8', '1', '0', '0']","['the police ""chased"" the robbers who had stolen the diamond ring that had been ""chased"" by the goldsmith.', 'we often said in cricket that this score is chasing by this team.remembered it as the team is running towards the score to catch it.', 'Chase(design on metal surface). If you indent your name on metal property, it will be easier to chase it later in case u lost it.', 'chase sounds like case. in order to keep your ornaments u have to keep it in a case']","['23', '1', '1', '0']",chase
704,["(noun) a deep opening in the earth's surface"],"['13', '7', '28', '16', '23']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    chashma.. if it has a crack, it is difficult to see', 'orgasm is a deep feeling. Chasm -  orgasm deep', 'imagine it as "" chasni "" so chadni goes deep in gulab jamun ...but u cant see the central part of gulab jamun .. hence abyss ==deep crack but cant see the bottom', 'CHAI(tea)+JAM(freeze)-  if I throw tea in deep chasm, it would freeze inside it as inner of earth is cold.', 'orgasm= deep penetration']","['14', '6', '2', '1', '0']",chasm
705,"['(noun) alternative names for the body of a human being', '(noun) a metal mounting for the circuit components of an electronic device', '                (noun) the skeleton of a motor vehicle consisting of a steel frame supported on springs that holds the body and motor']","['4', '3']","['imagine a chess board having several pawns and other pieces which are like the addons to the frame work resembling an engine    having several screws and other stuff', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Hero Honda caahe jise (sounds like chassis) automobile kai working parts dai sakti hai...']","['6', '1']",chassis
706,"['(adj) morally pure (especially not having experienced sexual intercourse)', '(adj) pure and simple in design or style', '(adj) abstaining from unlawful sexual intercourse']","['2', '25', '3', '2', '5', '0', '0', '0', '0', '5', '1', '0', '0']","['sex CHESTE(to do) it is no more a CHASTE (pure,virgin)', 'sounds like ""caste""...caste is always one...it cannot be mixed...so PURE', 'Sounds like Taste.\r\nYou Taste the Food if its pure and has no impurities like dirt.', 'Sounds like CHASE and WASTE: Following or CHASING a teen girl who has no ROMANTIC,EROTIC or LOVE MAKING INTEREST is a WASTE of time', 'the higher caste of hinduism ie., the brahmins went to jungles for yaga and lead a brahmachari life.without having sex..', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    your are just a waste for being chaste till now..', 'in telugu we say chasthey a paani cheyanu \r\nmeans having moral values', 'CHASTE:make it cha + taste. it implies that the cha(tea) is tasteful bcoz all the ingredients of it are pure.', 'you waste your life if u chaste your life (excuse the improper usage, hope this helps)', 'chaste = charity + superior. charities for poor will be lead by mother superior and they are pure and simple', 'chaste=c+haste(speed)....(see how speedly he was driving....this statement is made by purehearted,modest,sensitive fellow', 'imagine a girl who dont had given her chest(chaste),so she is viginal and pure.', 'it sounds like chest.the boy who never touched the chest/breast of a girl is really pure']","['20', '17', '3', '3', '2', '2', '2', '1', '1', '0', '0', '0', '0']",chaste
707,"['(verb) censure severely', '(verb) restrain', '(verb) correct by punishment or discipline']","['16', '1', '0', '4', '0', '0', '2', '0', '0']","['relate it with upper one ""Chaste""\r\nas to keep ur viginity you have to be disciplined .. so for chaste and chasten go hand in hand', '(chestalu)manuko means pichi panulu cheyaku correct ga undu means do correct', 'chaste + N (nahi hai ).. to tell them they have done sumthing wrong n should improve', 'if you en(enclose) your chast(chest) you are morally good', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Chasten-harshen-nowadays school punishments are harshened', 'chesten >>> u see army officers with always chest up.. they are DISCIPLINED and they do no wrong things..', 'chase to punish', 'sounds like fasten (your seat belt) which is to restrain (yourself in your seat)', 'chase + listen. chase him till listen.']","['21', '6', '4', '2', '2', '2', '1', '1', '1']",chasten
708,['(verb) censure severely'],"['2', '12', '2', '1', '5', '3', '3', '0', '2']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    chastise = chest ice... The kid was punished or crticized severly by his mother for playing with ice on chest', 'very similar to castigate', 'Beat the chest with stick hence punish', 'CHASTE means keeping away from sexual intercourse...hence CHASTISEMENT is a kind of punishment that will not allow you to have sex.......', 'People severly criticize Chase because they say that it tries to copy Bank of America.', 'cha(assume as chalk) and sti(stick) which is hands of teacher who scolds and ready to punish', 'chastise = chest eyes. A boy who had eyes in his chest and could see deeply into things with his heart was angrily chastised by people who feared his penetrating vision.', 'bachche k chest pe ice rakhne se uski ma(mother) ne use bhot criticize kiya aur punish kiya...', 'chastise. Visualize chest eyes. A boy who had eyes in his chest and could see deeply into things with his heart was angrily chastised by people who feared his penetrating vision.']","['21', '8', '2', '2', '1', '1', '1', '1', '0']",chastise
709,"['(noun) a person with a prejudiced belief in the superiority of his or her own kind', '                (noun) an extreme bellicose nationalist']","['9', '6', '2', '0', '6', '5', '0', '0']","['show over nationalist=Chauvinist(s0-v-nist)', 'sounds like surname chavhan..imagine some guy from chavhan group is very dominant about his group', 'chauvinist can be related be cheguvera.......who was an extreme belicose nationalist', 'chavuni+istha...thana chavuni deshanki istha anevadu ..really a blindly devoted patriot..', 'showynist who shows off.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    That MALE Chauvanist Pig, feeling his kind is better than rest! Uski toh...', 'communist', 'remember CHAUVO gurerro from WWE always trying to be superior over others with the help of vickie guurrero(EXCUSEEEEE ME....LOL)']","['13', '9', '4', '2', '1', '1', '1', '1']",chauvinist
710,"['(noun) a written order directing a bank to pay money', '(noun) an appraisal of the state of affairs', '(noun) the bill in a restaurant', '(noun) the state of inactivity following an interruption', '(noun) additional proof that something that was believed (some fact or hypothesis or theory) is correct', '(noun) the act of inspecting or verifying', '(noun) a mark indicating that something has been noted or completed etc.', '(noun) something immaterial that interferes with or delays action or progress', '(noun) a mark left after a small piece has been chopped or broken off of something', '(noun) a textile pattern of squares or crossed lines (resembling a checkerboard)', '(noun) the act of restraining power or action or limiting excess', '(noun) obstructing an opponent in ice hockey', ""                (noun) (chess) a direct attack on an opponent's king"", '                (verb) examine so as to determine accuracy, quality, or condition', '(verb) make an examination or investigation', '(verb) be careful or certain to do something; make certain of something', '(verb) lessen the intensity of; temper; hold in restraint; hold or keep within limits', '(verb) stop for a moment, as if out of uncertainty or caution', '(verb) put a check mark on or near or next to', '(verb) slow the growth or development of', '(verb) be verified or confirmed; pass inspection', '(verb) be compatible, similar or consistent; coincide in their characteristics', '(verb) block or impede (a player from the opposing team) in ice hockey', ""                (verb) develop (children's) behavior by instruction and practice; especially to teach self-control"", '(verb) consign for shipment on a vehicle', '(verb) hand over something to somebody as for temporary safekeeping', '(verb) abandon the intended prey, turn, and pursue an inferior prey', '                (verb) stop in a chase especially when scent is lost', '(verb) mark into squares or draw squares on; draw crossed lines on', '(verb) decline to initiate betting', '                (verb) hold back, as of a danger or an enemy; check the expansion or influence of', '(verb) place into check', '(verb) write out a check on a bank account', '                (verb) find out, learn, or determine with certainty, usually by making an inquiry or other effort', '(verb) verify by consulting a source or authority', '(verb) arrest the motion (of something) abruptly', '(verb) make cracks or chinks in', '(verb) become fractured; break or crack on the surface only']","['1', '0', '0']","['in chess when we check the king he cant move forward..so we are stoppping his motion', 'when POLICE is CHECKing vehicles, traffic is  STOP OR SLOW IN PROGRESS', 'in a restaurant when we ask for check, we actually stop ordering']","['11', '1', '1']",check
711,['(adj) having a sweet nature befitting an angel or cherub'],"['3', '8', '6', '1', '3', '0']","[""cherubic -> chehra(face) + ruby; ruby is\r\ncute looking, so BUBY'S CHEHRA is CHERUBIC."", 'Cheru sound like chiru who is like an angel to andra people.', 'Break it as chera(cheru)+bic, chera is Hindi word for face. So we love those girls whose face is innocent and angelic', 'chru+rubic means whose chehra  is rubic(rub like) is an angel.', 'cherubic = her + u + be. boys ll tell to angelic girls "" her(girl) u be mine""', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Cher wearing rubies looks cherubic!']","['43', '7', '3', '2', '1', '0']",cherubic
712,['(noun) the use of tricks to deceive someone (usually to extract money from them)'],"['7', '13', '5', '0', '0', '6', '1', '0', '5', '1', '3', '2', '0', '0', '0', '0']","['chicanery sounds like shikari who uses means of deception to trick animals into his traps.', '(In Hindi Language) chic(young girl0 + Nari(hindi) wat is a difference between chicks n Nari??? chic is DISHONEST BUT ATTRECTIVE AND THEY GENERALLY DECEIVE PEOPLE.', ""'CHICks' often use their assets as means of deceit to get what they want"", 'Chicnary: Chicni chupdi baatein karne wala will DECEIVE you!', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    yeh chick to naari nikli !! \r\n(cheated)', 'chicanery= chicken that we love to eat and we can trick on to eat it', 'We need to trick the chickens to get them into the canning factory', 'Selling a CHICk, as a CANARY to someone is fraud(=chicanery)', 'Find the difference between CHARLATAN and CHICANERY.', 'chick aa nai reee (u got decieved ~!)', 'chicanery - chicken + nari.. nari means FOX.. Foxs uses his tricks to hunt chicken..', 'Visual a baby chic looking up ""trick"" in the dictionary.', 'In order to make chicken we have to chicanery the chicks', '(hindi) sounds like ""chinery"" a slang used for woman with bad character.', 'CHICken transforms into RaY(fish) to DECEIVE the butcher', 'chican(chicken)=>if we want chicken, first we need to catch hen n for that v shoul be tricky...']","['67', '42', '11', '7', '6', '5', '5', '3', '1', '1', '0', '0', '0', '0', '0', '0']",chicanery
713,['(verb) censure severely or angrily'],"['9', '3', '10', '3', '4', '1', '0', '4']","['chide can be remembered as ""hide"". You hide to avoid getting scolded for what you have done.......', 'if children hide parents chide', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    (hindi language used) this word sound as chaddi ( under wear). If u gonna ask your mom about your chaddi she will scold you and teach you to keep your chaddi in place.', 'remember chide as child(small child)...we scold them if they do nythin wrong', 'sounds like child who are always scolded and rebuked.', 'CHIDE...chid means annoy in marathi....when someone is annoying you persistantly, you will rebuke,scold him.....', 'chide sounds like child and we will be scolding the childs when they made a mistake', 'चिढ़ना we know what that mean in Hindi :D']","['36', '30', '10', '6', '3', '2', '1', '0']",chide
